From,Area,To,N,Quartile,Rank
General Care,Medicine,Brown University,3,1,2
Pharmacology,Medicine,Brown University,1,1,4
Specialty Care,Medicine,Brown University,3,1,2
Medicine and Public Health,Medicine,Brown University,6,1,1
Medicine and Public Health,Medicine,Columbia University Libraries,10,2,2
Specialty Care,Medicine,Columbia University Libraries,3,1,3
General Care,Medicine,Columbia University Libraries,14,2,1
Medicine and Public Health,Medicine,Cornell University,10,2,1
General Care,Medicine,Cornell University,9,2,2
General Care,Medicine,Duke University,3,1,1
Medicine and Public Health,Medicine,Duke University,1,1,2
Specialty Care,Medicine,Harvard University,7,1,3
Medicine and Public Health,Medicine,Harvard University,18,2,2
General Care,Medicine,Harvard University,21,3,1
Specialty Care,Medicine,Johns Hopkins University,13,2,2
Pharmacology,Medicine,Johns Hopkins University,2,1,4
Medicine and Public Health,Medicine,Johns Hopkins University,14,2,1
General Care,Medicine,Johns Hopkins University,13,2,2
Specialty Care,Medicine,Massachusetts Institute of Technology,1,1,3
Medicine and Public Health,Medicine,Massachusetts Institute of Technology,3,1,1
General Care,Medicine,Massachusetts Institute of Technology,2,1,2
Medicine and Public Health,Medicine,Princeton University,4,1,2
Pharmacology,Medicine,Princeton University,1,1,4
Specialty Care,Medicine,Princeton University,3,1,3
General Care,Medicine,Princeton University,9,2,1
Medicine and Public Health,Medicine,Stanford University,3,1,1
General Care,Medicine,Stanford University,3,1,1
Specialty Care,Medicine,University of Chicago,3,1,2
Medicine and Public Health,Medicine,University of Chicago,1,1,3
General Care,Medicine,University of Chicago,7,1,1
Specialty Care,Medicine,University of Pennsylvania,1,1,4
Pharmacology,Medicine,University of Pennsylvania,3,1,3
Medicine and Public Health,Medicine,University of Pennsylvania,16,2,1
General Care,Medicine,University of Pennsylvania,9,2,2
General Care,Medicine,Yale University,16,2,1
Specialty Care,Medicine,Yale University,5,1,3
Pharmacology,Medicine,Yale University,2,1,4
Medicine and Public Health,Medicine,Yale University,12,2,2
